targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,13.3775598627,,,,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,0,0,0,,,,,,,h,0,1.48487138921,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,1,1,1,,,,,,,h,0,1.41773396342,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,2,2,2,,,,,,,b,0,1.30078817453,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,3,3,4,,,,,,,b,0,1.06781592596,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,4,4,3,,,,,,,b,0,1.35101001585,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
,,,,,,,,,,,,,,,,,,,,,,,,space,9.4579403213,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,0,0,32,,,s,0,2.7185793211,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
duck,ribbitR.wav,20,landoltCTop.png,V2,frogFront.png,duckFront.png,LinCong,h,-20,landoltCL.png,,,,,0,1,1,2,,,h,0,2.71879888976,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HcongWN,h,-20,landoltCL.png,,,,,0,2,2,41,,,h,0,1.20114908823,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,3,3,29,,,h,0,0.683809028778,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,4,4,45,,,h,0,0.834199267178,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HcongWN,b,-20,landoltCR.png,,,,,0,5,5,17,,,b,0,1.43441495032,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,6,6,22,,,b,0,1.46778462183,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,7,7,62,,,h,0,1.01760434828,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,8,8,77,,,h,0,0.617362199584,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,9,9,37,,,b,0,1.13456553263,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,10,10,61,,,h,0,0.400837073452,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HcongWN,b,-20,landoltCR.png,,,,,0,11,11,33,,,b,0,1.26767985936,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCongWN,b,-20,landoltCR.png,,,,,0,12,12,35,,,b,0,0.5840321164,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,h,20,landoltCTop.png,,,,,0,13,13,60,,,h,0,0.800653280909,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
duck,wnR.wav,-20,landoltCL.png,V2,duckFront.png,frogFront.png,LcongWN,h,20,landoltCTop.png,,,,,0,14,14,5,,,h,0,1.3013288486,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,15,15,23,,,b,0,0.817669302472,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,wnR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCongWN,h,-20,landoltCL.png,,,,,0,16,16,59,,,h,0,1.45116741616,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,17,17,48,,,b,0,1.16784686351,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,18,18,36,,,b,0,0.800832528126,,,2020_Feb_26_0910,59.9527072484,duckFrog,001,2,
