targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,26.1043559637,,,,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,0,0,1,,,,,,,h,0,4.37047354985,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,1,1,2,,,,,,,b,0,4.11967628468,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,2,2,4,,,,,,,b,0,4.45390487654,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,3,3,3,,,,,,,b,0,4.48705314661,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,4,4,0,,,,,,,h,0,4.87049774273,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
,,,,,,,,,,,,,,,,,,,,,,,,space,15.5959830298,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,quackL.wav,20,landoltCBottom.png,V2,frogFront.png,duckFront.png,Lcong,b,-20,landoltCR.png,,,,,0,0,0,8,,,b,0,2.83581139236,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HcongWN,h,-20,landoltCL.png,,,,,0,1,1,73,,,h,0,3.65307014907,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HcongWN,h,-20,landoltCL.png,,,,,0,2,2,41,,,h,0,1.56827559056,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,ribbitL.wav,-20,landoltCR.png,V2,duckFront.png,frogFront.png,LinCong,h,20,landoltCTop.png,,,,,0,3,3,6,,,h,0,2.96873730791,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,4,4,37,,,b,0,2.2021398964,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,5,5,63,,,h,0,2.13522570486,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,ribbitR.wav,20,landoltCBottom.png,V2,frogFront.png,duckFront.png,LinCong,b,-20,landoltCR.png,,,,,0,6,6,10,,,b,0,1.86805462897,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,7,7,55,,,b,0,2.21838211252,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,quackR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCong,b,-20,landoltCL.png,,,,,0,8,8,66,,,b,0,1.91826144139,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,9,9,46,,,h,0,1.65125348415,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,10,10,23,,,b,0,1.73491830872,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
duck,wnL.wav,20,landoltCTop.png,V2,frogFront.png,duckFront.png,LcongWN,h,-20,landoltCR.png,,,,,0,11,11,1,,,h,0,2.43518509016,,,2020_Feb_26_1123,59.9668081539,duckFrog,001,4,
