targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,9.02413239221,,,,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,0,0,3,,,,,,,b,0,3.45296062133,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,1,1,0,,,,,,,h,0,0.584117158025,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,2,2,1,,,,,,,h,0,0.533525092411,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,3,3,2,,,,,,,b,0,1.0007661077,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,4,4,4,,,,,,,b,0,0.533977792409,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
,,,,,,,,,,,,,,,,,,,,,,,,space,13.4108910456,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,0,0,1,,,h,0,0.767520039764,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,1,1,12,,,b,0,0.750280783977,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,2,2,70,,,h,0,1.28457161751,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LcongWN,h,-20,landoltCL.png,,,,,0,3,3,25,,,h,0,1.41778198261,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,quackR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCong,h,-20,landoltCR.png,,,,,0,4,4,26,,,h,0,0.734119577319,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,5,5,50,,,h,0,0.784154473702,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,6,6,79,,,b,0,0.917357507642,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,7,7,32,,,h,0,0.833938643933,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,8,8,74,,,b,0,1.38462784761,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,9,9,34,,,h,0,0.817719521016,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,10,10,15,,,b,0,1.33722924141,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,11,11,38,,,h,0,1.03429669849,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,ribbitL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,Lcong,h,-20,landoltCR.png,,,,,0,12,12,24,,,h,0,0.70053400271,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,13,13,60,,,b,0,1.31743360523,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,14,14,10,,,b,0,0.717202160056,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,15,15,33,,,h,0,0.817523412101,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnR.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LcongWN,b,20,landoltCBottom.png,,,,,0,16,16,21,,,b,0,1.35101624735,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,ribbitL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,Lcong,b,-20,landoltCL.png,,,,,0,17,17,16,,,b,0,1.38414435668,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,18,18,52,,,h,0,1.4010584749,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,19,19,39,,,h,0,1.31790903187,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,20,20,67,,,h,0,0.733861153421,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,21,21,0,,,h,0,0.684072217933,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,22,22,64,,,h,0,0.717392770588,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnR.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,,,,,0,23,23,19,,,b,0,0.617531549709,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,b,20,landoltCBottom.png,,,,,0,24,24,23,,,b,0,1.21754745835,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,25,25,48,,,h,0,0.650448521221,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnR.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LcongWN,h,20,landoltCTop.png,,,,,0,26,26,29,,,h,0,0.717197761347,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,27,27,14,,,b,0,1.13427228566,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,28,28,54,,,h,0,1.11797105359,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LcongWN,b,-20,landoltCR.png,,,,,0,29,29,17,,,s,0,1.3180054368,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,30,30,56,,,b,0,0.833709178187,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,31,31,9,,,b,0,1.3347919926,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,32,32,4,,,h,0,0.883935418213,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,h,20,landoltCTop.png,,,,,0,33,33,31,,,h,0,1.40306171823,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,34,34,53,,,h,0,0.817542839708,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,quackR.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LinCong,b,-20,landoltCL.png,,,,,0,35,35,18,,,b,0,0.733883146939,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,36,36,69,,,h,0,0.733715263064,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,37,37,63,,,b,0,1.23457740914,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,38,38,72,,,b,0,0.650533929409,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,wnR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCongWN,h,-20,landoltCL.png,,,,,0,39,39,27,,,h,0,1.2678693702,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,quackL.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,LinCong,h,20,landoltCTop.png,,,,,0,40,40,30,,,h,0,1.3177044921,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,41,41,44,,,b,0,1.08464976781,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,42,42,71,,,h,0,0.634060781304,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,43,43,37,,,h,0,0.90109879637,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,44,44,11,,,b,0,0.750585394257,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,45,45,45,,,b,0,0.884077643001,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,46,46,36,,,h,0,1.38471728793,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,47,47,42,,,b,0,0.633558229325,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,48,48,59,,,b,0,0.734107114316,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,ribbitR.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,Lcong,h,20,landoltCTop.png,,,,,0,49,49,28,,,h,0,1.06723859599,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,50,50,41,,,b,0,1.11747253376,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,51,51,51,,,h,0,0.96768565099,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,ribbitR.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,,,,,0,52,52,20,,,b,0,0.917110447059,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,53,53,77,,,b,0,0.867582501363,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,54,54,6,,,h,0,1.51807867523,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,55,55,46,,,b,0,1.30147400586,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,56,56,58,,,b,0,0.667106414927,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,57,57,65,,,h,0,1.25109124526,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,58,58,66,,,h,0,0.834329395526,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,59,59,43,,,b,0,0.70090202766,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,60,60,40,,,b,0,0.684064886751,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,61,61,5,,,h,0,0.766979732231,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,62,62,3,,,h,0,1.201122696,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,63,63,68,,,h,0,1.28431099426,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,64,64,75,,,b,0,0.66712730877,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
frog,quackL.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,LinCong,b,20,landoltCBottom.png,,,,,0,65,65,22,,,b,0,1.23407302436,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,66,66,76,,,b,0,1.21795727099,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,67,67,47,,,b,0,1.13447096049,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,68,68,62,,,b,0,0.683978378904,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,69,69,7,,,h,0,1.10109652371,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,70,70,73,,,b,0,0.900511569329,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,71,71,35,,,h,0,0.750820358371,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,72,72,13,,,b,0,0.670313070455,,,2020_Feb_26_1011,59.9586367257,duckFrog,001,3,
