targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,10.8755604185,,,,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,0,0,1,,,,,,,b,0,3.73736031921,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,1,1,4,,,,,,,b,0,16.0960428431,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,2,2,3,,,,,,,b,0,0.717164541536,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,3,3,0,,,,,,,h,0,0.600462960399,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,4,4,2,,,,,,,b,0,0.533991301636,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
,,,,,,,,,,,,,,,,,,,,,,,,space,3.21992342643,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCongWN,b,-20,landoltCR.png,,,,,0,0,0,19,,,b,0,0.500629560178,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCong,b,-20,landoltCL.png,,,,,0,1,1,18,,,b,0,0.533958678134,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,h,20,landoltCTop.png,,,,,0,2,2,28,,,h,0,0.767927436536,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,ribbitL.wav,-20,landoltCR.png,V2,duckFront.png,frogFront.png,LinCong,b,20,landoltCBottom.png,,,,,0,3,3,14,,,b,0,0.834365372168,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,ribbitL.wav,-20,landoltCR.png,V2,duckFront.png,frogFront.png,LinCong,h,20,landoltCTop.png,,,,,0,4,4,6,,,h,0,1.95159626039,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,5,5,77,,,h,0,0.700782780652,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCongWN,h,-20,landoltCL.png,,,,,0,6,6,27,,,b,0,0.700626627746,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnL.wav,20,landoltCBottom.png,V2,frogFront.png,duckFront.png,LcongWN,b,-20,landoltCL.png,,,,,0,7,7,9,,,b,0,1.58486416345,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HcongWN,h,-20,landoltCL.png,,,,,0,8,8,57,,,h,0,1.11782837476,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCong,h,-20,landoltCR.png,,,,,0,9,9,42,,,b,0,1.25122842129,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,quackR.wav,-20,landoltCR.png,V2,duckFront.png,frogFront.png,Lcong,h,20,landoltCTop.png,,,,,0,10,10,4,,,h,0,1.15094892224,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnR.wav,20,landoltCTop.png,V2,frogFront.png,duckFront.png,LinCongWN,h,-20,landoltCR.png,,,,,0,11,11,3,,,h,0,0.833982320997,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCong,b,-20,landoltCL.png,,,,,0,12,12,66,,,h,0,0.750871945434,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCong,h,-20,landoltCR.png,,,,,0,13,13,74,,,h,0,1.63478361274,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnR.wav,-20,landoltCL.png,V2,duckFront.png,frogFront.png,LcongWN,h,20,landoltCTop.png,,,,,0,14,14,5,,,b,0,1.16770017173,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnR.wav,-20,landoltCL.png,V2,duckFront.png,frogFront.png,LcongWN,b,20,landoltCBottom.png,,,,,0,15,15,13,,,b,0,1.43481477004,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,16,16,52,,,b,0,1.51821472493,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,17,17,62,,,h,0,1.11924218183,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,Hcong,h,-20,landoltCR.png,,,,,0,18,18,24,,,h,0,1.18427400806,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,19,19,45,,,b,0,1.13425815449,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,20,20,38,,,b,0,1.30122668014,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,21,21,46,,,h,0,1.01775121468,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnL.wav,-20,landoltCL.png,V2,duckFront.png,frogFront.png,LinCongWN,h,20,landoltCTop.png,,,,,0,22,22,7,,,h,0,1.25125371368,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,23,23,29,,,h,0,1.25113714882,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCongWN,b,-20,landoltCR.png,,,,,0,24,24,51,,,b,0,0.883929261996,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,25,25,32,,,h,0,0.850907318119,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,26,26,20,,,b,0,1.30103643751,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCong,b,-20,landoltCL.png,,,,,0,27,27,50,,,b,0,0.800624978234,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCongWN,b,-20,landoltCR.png,,,,,0,28,28,35,,,b,0,0.851100493193,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCongWN,h,-20,landoltCL.png,,,,,0,29,29,59,,,h,0,1.33462764311,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,30,30,16,,,b,0,0.617891239148,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCongWN,h,-20,landoltCL.png,,,,,0,31,31,75,,,h,0,1.40131337068,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,32,32,69,,,b,0,1.26766150005,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,h,20,landoltCTop.png,,,,,0,33,33,44,,,h,0,1.2512133925,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,Hcong,h,-20,landoltCR.png,,,,,0,34,34,72,,,h,0,0.967452013225,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCongWN,b,-20,landoltCR.png,,,,,0,35,35,67,,,b,0,1.70151515986,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,36,36,79,,,h,0,1.01740078698,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,37,37,23,,,b,0,1.1680341044,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,ribbitR.wav,20,landoltCTop.png,V2,frogFront.png,duckFront.png,LinCong,h,-20,landoltCL.png,,,,,0,38,38,2,,,h,0,1.15075684682,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,39,39,71,,,b,0,1.1174728153,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnR.wav,20,landoltCBottom.png,V2,frogFront.png,duckFront.png,LinCongWN,b,-20,landoltCL.png,,,,,0,40,40,11,,,b,0,1.20095157975,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,41,41,63,,,h,0,0.984239551763,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,42,42,61,,,h,0,1.00099116782,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,43,43,64,,,b,0,0.617095079186,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,44,44,30,,,h,0,1.55118425129,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HcongWN,b,-20,landoltCR.png,,,,,0,45,45,49,,,b,0,1.03413444181,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackL.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,HinCong,h,20,landoltCTop.png,,,,,0,46,46,78,,,h,0,1.10088431669,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,Hcong,b,-20,landoltCL.png,,,,,0,47,47,48,,,b,0,0.917384108703,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,Hcong,h,-20,landoltCR.png,,,,,0,48,48,56,,,h,0,0.950759412692,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitL.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,Hcong,h,-20,landoltCR.png,,,,,0,49,49,40,,,h,0,1.10107969114,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,50,50,53,,,b,0,1.33428454652,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,51,51,55,,,h,0,0.96829949104,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,wnL.wav,20,landoltCTop.png,V2,frogFront.png,duckFront.png,LcongWN,h,-20,landoltCR.png,,,,,0,52,52,1,,,b,0,1.23429206095,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,53,53,39,,,b,0,1.21761302301,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnL.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HcongWN,b,-20,landoltCR.png,,,,,0,54,54,17,,,b,0,0.767121746117,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCTop.png,V2,duckFront.png,frogFront.png,HinCong,h,-20,landoltCR.png,,,,,0,55,55,26,,,h,0,0.917573251645,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,quackR.wav,20,landoltCBottom.png,V2,duckFront.png,frogFront.png,HinCong,b,-20,landoltCL.png,,,,,0,56,56,34,,,b,0,0.967696139589,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,wnR.wav,-20,landoltCR.png,V2,frogFront.png,duckFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,57,57,37,,,b,0,0.66720807011,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
frog,ribbitR.wav,-20,landoltCL.png,V2,frogFront.png,duckFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,58,58,68,,,b,0,0.700780214771,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
duck,ribbitR.wav,20,landoltCBottom.png,V2,frogFront.png,duckFront.png,LinCong,b,-20,landoltCR.png,,,,,0,59,59,10,,,b,0,0.683876111347,,,2020_Mar_04_0810,59.961162873,duckFrog,001,8,
