RECORDING_SESSION_LABEL,TRIAL_INDEX,TRIAL_FIXATION_TOTAL,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_START,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL
2,1,9,396,1,.,.,.,.,.,20,1,3.56,fixationIA
2,1,9,132,2,.,.,.,.,.,480,2,4.35,targetIA
2,1,9,208,3,2,targetIA,208,1,208,640,2,1.85,targetIA
2,1,9,356,4,.,.,.,.,.,956,2,3.73,targetIA
2,1,9,148,5,.,.,.,.,.,1428,3,3.15,distIA
2,1,9,248,6,3,distIA,1060,3,1060,1604,3,0.28,distIA
2,1,9,524,7,3,distIA,1060,3,1060,1876,3,1.89,distIA
2,1,9,288,8,3,distIA,1060,3,1060,2432,3,2.23,distIA
2,1,9,28,9,.,.,.,.,.,2732,3,2.93,distIA
2,2,7,520,1,1,fixationIA,520,1,520,0,1,0.25,fixationIA
2,2,7,152,2,.,.,.,.,.,2056,3,3.73,distIA
2,2,7,152,3,3,distIA,296,2,296,2236,3,1.88,distIA
2,2,7,144,4,3,distIA,296,2,296,2412,3,0.41,distIA
2,2,7,64,5,.,.,.,.,.,2616,1,1.88,fixationIA
2,2,7,140,6,2,targetIA,668,2,668,2740,2,1.46,targetIA
2,2,7,528,7,2,targetIA,668,2,668,2904,2,0.8,targetIA
2,3,5,308,1,1,fixationIA,308,2,1048,0,1,0.21,fixationIA
2,3,5,160,2,3,distIA,160,1,160,368,3,1.37,distIA
2,3,5,740,3,1,fixationIA,740,2,1048,584,1,1.06,fixationIA
2,3,5,348,4,2,targetIA,512,2,512,1392,2,0.56,targetIA
2,3,5,164,5,2,targetIA,512,2,512,1756,2,1.01,targetIA
2,4,4,628,1,1,fixationIA,628,1,628,0,1,0.19,fixationIA
2,4,4,264,2,2,targetIA,528,2,528,688,2,0.71,targetIA
2,4,4,264,3,2,targetIA,528,2,528,968,2,0.57,targetIA
2,4,4,92,4,3,distIA,92,1,92,1324,3,0.67,distIA
2,5,5,600,1,1,fixationIA,696,2,696,0,1,0.18,fixationIA
2,5,5,96,2,1,fixationIA,696,2,696,620,1,0.32,fixationIA
2,5,5,244,3,2,targetIA,548,2,548,776,2,0.99,targetIA
2,5,5,304,4,2,targetIA,548,2,548,1040,2,0.88,targetIA
2,5,5,72,5,3,distIA,72,1,72,1440,3,1.31,distIA
