RECORDING_SESSION_LABEL,TRIAL_INDEX,TRIAL_FIXATION_TOTAL,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_START,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL
12,1,3,412,1,1,fixationIA,412,1,412,10,1,0.69,fixationIA
12,1,3,242,2,2,targetIA,836,2,836,496,2,2.24,targetIA
12,1,3,594,3,2,targetIA,836,2,836,752,2,1.05,targetIA
12,2,9,232,1,1,fixationIA,232,1,232,4,1,0.58,fixationIA
12,2,9,240,2,3,distIA,390,4,766,312,3,1.67,distIA
12,2,9,150,3,3,distIA,390,4,766,564,3,1.43,distIA
12,2,9,156,4,.,.,.,.,.,778,1,2.39,fixationIA
12,2,9,272,5,3,distIA,376,4,766,1004,3,1.66,distIA
12,2,9,104,6,3,distIA,376,4,766,1286,3,1.76,distIA
12,2,9,140,7,.,.,.,.,.,1494,2,2.81,targetIA
12,2,9,258,8,2,targetIA,488,2,488,1654,2,1.32,targetIA
12,2,9,230,9,2,targetIA,488,2,488,1926,2,2.27,targetIA
12,3,4,268,1,1,fixationIA,268,1,268,4,1,0.65,fixationIA
12,3,4,496,2,3,distIA,598,2,598,350,3,2.05,distIA
12,3,4,102,3,3,distIA,598,2,598,862,3,2.91,distIA
12,3,4,664,4,2,targetIA,664,1,664,1080,2,1.11,targetIA
12,4,7,178,1,1,fixationIA,178,2,358,4,1,0.54,fixationIA
12,4,7,414,2,3,distIA,414,3,844,264,3,2.5,distIA
12,4,7,180,3,1,fixationIA,180,2,358,750,1,0.92,fixationIA
12,4,7,250,4,3,distIA,430,3,844,1008,3,2.96,distIA
12,4,7,180,5,3,distIA,430,3,844,1270,3,2.31,distIA
12,4,7,136,6,.,.,.,.,.,1560,2,3.15,targetIA
12,4,7,326,7,2,targetIA,326,1,326,1720,2,2.16,targetIA
12,5,3,250,1,1,fixationIA,250,1,250,4,1,0.93,fixationIA
12,5,3,666,2,.,.,.,.,.,330,2,3.07,targetIA
12,5,3,488,3,2,targetIA,488,1,488,1008,2,2.17,targetIA
