RECORDING_SESSION_LABEL,TRIAL_INDEX,TRIAL_FIXATION_TOTAL,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_START,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL
13,1,5,256,1,1,fixationIA,256,2,510,4,1,0.72,fixationIA
13,1,5,150,2,3,distIA,234,2,234,332,3,2.26,distIA
13,1,5,84,3,3,distIA,234,2,234,502,3,1.16,distIA
13,1,5,254,4,1,fixationIA,254,2,510,752,1,2.06,fixationIA
13,1,5,552,5,2,targetIA,552,1,552,1080,2,0.76,targetIA
13,2,4,910,1,1,fixationIA,910,1,910,4,1,0.21,fixationIA
13,2,4,360,2,3,distIA,360,1,360,982,3,0.39,distIA
13,2,4,200,3,2,targetIA,570,2,570,1468,2,1.82,targetIA
13,2,4,370,4,2,targetIA,570,2,570,1686,2,0.58,targetIA
13,3,7,956,1,1,fixationIA,956,1,956,4,1,0.19,fixationIA
13,3,7,144,2,.,.,.,.,.,1006,1,7.7,fixationIA
13,3,7,224,3,3,distIA,370,2,370,1202,3,0.34,distIA
13,3,7,146,4,3,distIA,370,2,370,1452,3,2.34,distIA
13,3,7,274,5,2,targetIA,532,3,532,1744,2,0.52,targetIA
13,3,7,190,6,2,targetIA,532,3,532,2034,2,1.21,targetIA
13,3,7,68,7,2,targetIA,532,3,532,2252,2,2.51,targetIA
13,4,5,580,1,1,fixationIA,1060,2,1060,4,1,0.18,fixationIA
13,4,5,480,2,1,fixationIA,1060,2,1060,596,1,0.72,fixationIA
13,4,5,168,3,3,distIA,168,1,168,1146,3,0.26,distIA
13,4,5,270,4,2,targetIA,522,2,522,1456,2,1.11,targetIA
13,4,5,252,5,2,targetIA,522,2,522,1738,2,0.14,targetIA
13,5,5,1022,1,1,fixationIA,1022,1,1022,4,1,0.18,fixationIA
13,5,5,94,2,.,.,.,.,.,1130,3,3.88,distIA
13,5,5,320,3,3,distIA,320,1,320,1254,3,1.12,distIA
13,5,5,272,4,2,targetIA,554,2,554,1690,2,0.91,targetIA
13,5,5,282,5,2,targetIA,554,2,554,1982,2,1.06,targetIA
13,6,4,1032,1,1,fixationIA,1032,1,1032,4,1,0.18,fixationIA
13,6,4,166,2,.,.,.,.,.,1072,1,6.33,fixationIA
13,6,4,258,3,2,targetIA,850,2,850,1294,2,0.38,targetIA
13,6,4,592,4,2,targetIA,850,2,850,1568,2,1.01,targetIA
13,7,8,174,1,1,fixationIA,174,2,702,4,1,0.83,fixationIA
13,7,8,166,2,2,targetIA,166,4,814,242,2,1.47,targetIA
13,7,8,528,3,1,fixationIA,528,2,702,582,1,0.35,fixationIA
13,7,8,168,4,3,distIA,362,2,362,1176,3,0.9,distIA
13,7,8,194,5,3,distIA,362,2,362,1360,3,0.48,distIA
13,7,8,236,6,2,targetIA,648,4,814,1674,2,1.01,targetIA
13,7,8,58,7,2,targetIA,648,4,814,1926,2,1.08,targetIA
13,7,8,354,8,2,targetIA,648,4,814,2000,2,1.6,targetIA
13,8,8,976,1,1,fixationIA,976,1,976,4,1,0.6,fixationIA
13,8,8,164,2,.,.,.,.,.,1034,2,7.23,targetIA
13,8,8,140,3,2,targetIA,140,3,608,1240,2,0.17,targetIA
13,8,8,172,4,3,distIA,406,3,406,1504,3,1.96,distIA
13,8,8,114,5,3,distIA,406,3,406,1694,3,0.86,distIA
13,8,8,120,6,3,distIA,406,3,406,1824,3,1.41,distIA
13,8,8,226,7,2,targetIA,468,3,608,2048,2,1.64,targetIA
13,8,8,242,8,2,targetIA,468,3,608,2296,2,1.04,targetIA
13,9,5,1164,1,1,fixationIA,1164,1,1164,4,1,0.23,fixationIA
13,9,5,192,2,2,targetIA,612,2,612,1258,2,1.17,targetIA
13,9,5,420,3,2,targetIA,612,2,612,1466,2,0.86,targetIA
13,9,5,104,4,.,.,.,.,.,1946,1,5.57,fixationIA
13,9,5,152,5,3,distIA,152,1,152,2128,3,1.95,distIA
13,10,6,1106,1,1,fixationIA,1106,1,1106,4,1,0.29,fixationIA
13,10,6,182,2,3,distIA,572,3,572,1182,3,1.66,distIA
13,10,6,140,3,3,distIA,572,3,572,1382,3,0.72,distIA
13,10,6,250,4,3,distIA,572,3,572,1538,3,0.75,distIA
13,10,6,228,5,2,targetIA,756,2,756,1894,2,0.16,targetIA
13,10,6,528,6,2,targetIA,756,2,756,2142,2,1.69,targetIA
13,11,5,896,1,1,fixationIA,896,1,896,4,1,0.31,fixationIA
13,11,5,130,2,.,.,.,.,.,964,3,3.39,distIA
13,11,5,96,3,3,distIA,96,1,96,1122,3,0.41,distIA
13,11,5,228,4,2,targetIA,572,2,572,1364,2,0.22,targetIA
13,11,5,344,5,2,targetIA,572,2,572,1608,2,1.13,targetIA
13,12,3,1334,1,1,fixationIA,1334,1,1334,4,1,0.22,fixationIA
13,12,3,180,2,2,targetIA,1282,2,1282,1410,2,1.54,targetIA
13,12,3,1102,3,2,targetIA,1282,2,1282,1608,2,0.61,targetIA
13,13,5,956,1,1,fixationIA,956,1,956,4,1,0.51,fixationIA
13,13,5,174,2,.,.,.,.,.,1002,1,6.49,fixationIA
13,13,5,330,3,3,distIA,330,1,330,1234,3,1.25,distIA
13,13,5,232,4,2,targetIA,680,2,680,1670,2,0.23,targetIA
13,13,5,448,5,2,targetIA,680,2,680,1918,2,1.38,targetIA
13,14,8,52,1,1,fixationIA,204,4,848,4,1,0.51,fixationIA
13,14,8,152,2,1,fixationIA,204,4,848,66,1,0.09,fixationIA
13,14,8,142,3,.,.,.,.,.,280,3,3.39,distIA
13,14,8,52,4,1,fixationIA,644,4,848,478,1,0.84,fixationIA
13,14,8,592,5,1,fixationIA,644,4,848,546,1,0.4,fixationIA
13,14,8,232,6,3,distIA,562,2,562,1206,3,0.62,distIA
13,14,8,330,7,3,distIA,562,2,562,1458,3,1.22,distIA
13,14,8,472,8,2,targetIA,472,1,472,1904,2,0.66,targetIA
13,15,3,984,1,1,fixationIA,984,1,984,4,1,0.27,fixationIA
13,15,3,218,2,2,targetIA,710,2,710,1060,2,0.85,targetIA
13,15,3,492,3,2,targetIA,710,2,710,1292,2,0.51,targetIA
13,16,2,952,1,1,fixationIA,952,1,952,4,1,0.3,fixationIA
13,16,2,1112,2,2,targetIA,1112,1,1112,1028,2,0.74,targetIA
13,17,6,898,1,1,fixationIA,898,1,898,4,1,0.06,fixationIA
13,17,6,200,2,3,distIA,296,2,296,974,3,0.56,distIA
13,17,6,96,3,3,distIA,296,2,296,1194,3,1.28,distIA
13,17,6,204,4,2,targetIA,560,3,560,1412,2,2.16,targetIA
13,17,6,296,5,2,targetIA,560,3,560,1634,2,0.9,targetIA
13,17,6,60,6,2,targetIA,560,3,560,1942,2,0.28,targetIA
13,18,8,1138,1,1,fixationIA,1138,1,1138,4,1,0.51,fixationIA
13,18,8,154,2,3,distIA,472,4,472,1214,3,2.66,distIA
13,18,8,62,3,3,distIA,472,4,472,1384,3,1.74,distIA
13,18,8,204,4,3,distIA,472,4,472,1462,3,0.54,distIA
13,18,8,52,5,3,distIA,472,4,472,1678,3,0.37,distIA
13,18,8,144,6,2,targetIA,364,3,364,1836,2,1.84,targetIA
13,18,8,108,7,2,targetIA,364,3,364,2002,2,0.74,targetIA
13,18,8,112,8,2,targetIA,364,3,364,2130,2,0.82,targetIA
13,19,8,288,1,1,fixationIA,288,2,644,4,1,0.35,fixationIA
13,19,8,156,2,.,.,.,.,.,338,1,9.06,fixationIA
13,19,8,356,3,1,fixationIA,356,2,644,540,1,0.13,fixationIA
13,19,8,236,4,3,distIA,328,2,328,970,3,1.11,distIA
13,19,8,92,5,3,distIA,328,2,328,1218,3,0.26,distIA
13,19,8,136,6,2,targetIA,582,3,582,1414,2,2.57,targetIA
13,19,8,168,7,2,targetIA,582,3,582,1578,2,0.71,targetIA
13,19,8,278,8,2,targetIA,582,3,582,1758,2,1.32,targetIA
13,20,5,1030,1,1,fixationIA,1030,1,1030,36,1,0.36,fixationIA
13,20,5,186,2,3,distIA,296,2,296,1150,3,0.77,distIA
13,20,5,110,3,3,distIA,296,2,296,1348,3,0.19,distIA
13,20,5,206,4,2,targetIA,534,2,534,1582,2,1.83,targetIA
13,20,5,328,5,2,targetIA,534,2,534,1810,2,1.29,targetIA
13,21,9,902,1,1,fixationIA,902,1,902,4,1,0.56,fixationIA
13,21,9,184,2,2,targetIA,288,4,1032,974,2,1.27,targetIA
13,21,9,104,3,2,targetIA,288,4,1032,1178,2,0.41,targetIA
13,21,9,202,4,3,distIA,472,3,472,1408,3,1.88,distIA
13,21,9,200,5,3,distIA,472,3,472,1634,3,1.12,distIA
13,21,9,70,6,3,distIA,472,3,472,1848,3,2.07,distIA
