RECORDING_SESSION_LABEL,TRIAL_INDEX,TRIAL_FIXATION_TOTAL,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_START,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL
4,1,7,32,1,.,.,.,.,.,0,.,.,.
4,1,7,1256,2,.,.,.,.,.,48,.,.,.
4,1,7,352,3,.,.,.,.,.,1380,.,.,.
4,1,7,428,4,.,.,.,.,.,1752,.,.,.
4,1,7,288,5,.,.,.,.,.,2828,.,.,.
4,1,7,116,6,.,.,.,.,.,3132,.,.,.
4,1,7,140,7,.,.,.,.,.,3424,.,.,.
4,2,10,1632,1,1,fixationIA,1632,1,1632,0,1,0.43,fixationIA
4,2,10,136,2,2,targetIA,1032,6,1656,1704,2,2.37,targetIA
4,2,10,204,3,2,targetIA,1032,6,1656,1860,2,0.92,targetIA
4,2,10,540,4,2,targetIA,1032,6,1656,2080,2,0.76,targetIA
4,2,10,152,5,2,targetIA,1032,6,1656,2804,2,1.18,targetIA
4,2,10,172,6,3,distIA,476,3,476,3084,3,1.12,distIA
4,2,10,152,7,3,distIA,476,3,476,3272,3,0.38,distIA
4,2,10,152,8,3,distIA,476,3,476,3440,3,0.86,distIA
4,2,10,204,9,2,targetIA,624,6,1656,3712,2,1.01,targetIA
4,2,10,420,10,2,targetIA,624,6,1656,3932,2,0.95,targetIA
4,3,4,1148,1,1,fixationIA,1148,1,1148,0,1,0.61,fixationIA
4,3,4,180,2,2,targetIA,888,3,888,1224,2,0.1,targetIA
4,3,4,280,3,2,targetIA,888,3,888,1416,2,0.82,targetIA
4,3,4,428,4,2,targetIA,888,3,888,1844,2,1.14,targetIA
4,4,4,1332,1,1,fixationIA,1332,1,1332,0,1,0.78,fixationIA
4,4,4,576,2,3,distIA,576,1,576,1408,3,0.86,distIA
4,4,4,132,3,2,targetIA,1360,2,1360,2108,2,1.78,targetIA
4,4,4,1228,4,2,targetIA,1360,2,1360,2260,2,0.71,targetIA
4,5,5,1276,1,1,fixationIA,1276,1,1276,0,1,0.86,fixationIA
4,5,5,652,2,2,targetIA,1136,3,1136,1356,2,1.1,targetIA
4,5,5,140,3,2,targetIA,1136,3,1136,2024,2,0.43,targetIA
4,5,5,344,4,2,targetIA,1136,3,1136,2396,2,1.13,targetIA
4,5,5,48,5,.,.,.,.,.,2856,3,3.32,distIA
4,6,5,996,1,1,fixationIA,996,1,996,0,1,0.68,fixationIA
4,6,5,596,2,3,distIA,596,1,596,1076,3,0.96,distIA
4,6,5,100,3,2,targetIA,908,3,908,1896,2,1.87,targetIA
4,6,5,168,4,2,targetIA,908,3,908,2012,2,0.93,targetIA
4,6,5,640,5,2,targetIA,908,3,908,2200,2,0.67,targetIA
4,7,6,1196,1,1,fixationIA,1196,1,1196,0,1,0.48,fixationIA
4,7,6,220,2,3,distIA,488,2,488,1272,3,1.16,distIA
4,7,6,268,3,3,distIA,488,2,488,1512,3,0.66,distIA
4,7,6,164,4,.,.,.,.,.,1904,2,3.96,targetIA
4,7,6,168,5,2,targetIA,432,2,432,2100,2,0.89,targetIA
4,7,6,264,6,2,targetIA,432,2,432,2280,2,0.85,targetIA
4,8,4,992,1,1,fixationIA,992,1,992,0,1,0.65,fixationIA
4,8,4,1024,2,3,distIA,1024,1,1024,1064,3,1.24,distIA
4,8,4,168,3,2,targetIA,644,2,644,2216,2,2.12,targetIA
4,8,4,476,4,2,targetIA,644,2,644,2404,2,1.12,targetIA
4,9,5,428,1,1,fixationIA,1012,2,1012,0,1,0.56,fixationIA
4,9,5,584,2,1,fixationIA,1012,2,1012,440,1,0.61,fixationIA
4,9,5,680,3,3,distIA,680,1,680,1096,3,0.98,distIA
4,9,5,176,4,2,targetIA,692,2,692,1892,2,2.47,targetIA
4,9,5,516,5,2,targetIA,692,2,692,2084,2,0.95,targetIA
4,10,6,1008,1,1,fixationIA,1008,1,1008,0,1,0.59,fixationIA
4,10,6,200,2,3,distIA,500,2,500,1084,3,0.47,distIA
4,10,6,300,3,3,distIA,500,2,500,1296,3,0.93,distIA
4,10,6,172,4,2,targetIA,640,3,640,1720,2,1.96,targetIA
4,10,6,180,5,2,targetIA,640,3,640,1912,2,0.37,targetIA
4,10,6,288,6,2,targetIA,640,3,640,2104,2,0.61,targetIA
4,11,5,1288,1,1,fixationIA,1288,1,1288,0,1,0.6,fixationIA
4,11,5,248,2,3,distIA,352,2,352,1364,3,0.78,distIA
4,11,5,104,3,3,distIA,352,2,352,1628,3,1.23,distIA
4,11,5,164,4,2,targetIA,564,2,564,1852,2,1.29,targetIA
4,11,5,400,5,2,targetIA,564,2,564,2036,2,0.74,targetIA
4,12,6,972,1,1,fixationIA,972,1,972,0,1,0.63,fixationIA
4,12,6,176,2,2,targetIA,632,3,1436,1048,2,0.64,targetIA
4,12,6,456,3,2,targetIA,632,3,1436,1240,2,1.03,targetIA
4,12,6,116,4,3,distIA,328,2,328,1900,3,1.85,distIA
4,12,6,212,5,3,distIA,328,2,328,2032,3,0.6,distIA
4,12,6,804,6,2,targetIA,804,3,1436,2360,2,1.18,targetIA
4,13,6,788,1,1,fixationIA,788,1,788,0,1,0.53,fixationIA
4,13,6,200,2,2,targetIA,1160,3,1328,864,2,0.82,targetIA
4,13,6,960,3,2,targetIA,1160,3,1328,1084,2,1.1,targetIA
4,13,6,112,4,.,.,.,.,.,2172,3,3.4,distIA
4,13,6,356,5,3,distIA,356,1,356,2308,3,1.26,distIA
4,13,6,168,6,2,targetIA,168,3,1328,2844,2,1.8,targetIA
4,14,4,1056,1,1,fixationIA,1056,1,1056,0,1,0.82,fixationIA
4,14,4,476,2,2,targetIA,476,1,476,1132,2,1.03,targetIA
4,14,4,176,3,3,distIA,416,2,416,1736,3,1.38,distIA
4,14,4,240,4,3,distIA,416,2,416,1928,3,0.19,distIA
4,15,5,1252,1,1,fixationIA,1252,1,1252,0,1,1.06,fixationIA
4,15,5,224,2,3,distIA,316,2,316,1328,3,1.07,distIA
4,15,5,92,3,3,distIA,316,2,316,1572,3,0.9,distIA
4,15,5,176,4,2,targetIA,600,2,600,1788,2,1.03,targetIA
4,15,5,424,5,2,targetIA,600,2,600,1980,2,0.7,targetIA
4,16,3,956,1,1,fixationIA,956,1,956,0,1,0.83,fixationIA
4,16,3,152,2,2,targetIA,732,2,732,1032,2,2.3,targetIA
4,16,3,580,3,2,targetIA,732,2,732,1196,2,1.36,targetIA
4,17,10,252,1,1,fixationIA,252,2,600,0,1,1.25,fixationIA
4,17,10,152,2,2,targetIA,408,4,1060,328,2,2,targetIA
4,17,10,256,3,2,targetIA,408,4,1060,500,2,0.58,targetIA
4,17,10,348,4,1,fixationIA,348,2,600,824,1,1.58,fixationIA
4,17,10,60,5,.,.,.,.,.,1856,3,6.46,distIA
4,17,10,168,6,3,distIA,624,3,624,1964,3,2.31,distIA
4,17,10,156,7,3,distIA,624,3,624,2144,3,1.72,distIA
4,17,10,300,8,3,distIA,624,3,624,2312,3,1.62,distIA
4,17,10,212,9,2,targetIA,652,4,1060,2728,2,1.92,targetIA
4,17,10,440,10,2,targetIA,652,4,1060,2952,2,0.8,targetIA
4,18,3,1072,1,1,fixationIA,1072,1,1072,0,1,0.37,fixationIA
4,18,3,244,2,2,targetIA,736,2,736,1148,2,0.97,targetIA
4,18,3,492,3,2,targetIA,736,2,736,1412,2,1.02,targetIA
4,19,5,960,1,1,fixationIA,960,1,960,0,1,0.41,fixationIA
4,19,5,392,2,3,distIA,392,1,392,1036,3,0.96,distIA
4,19,5,160,3,2,targetIA,816,3,816,1540,2,2.28,targetIA
4,19,5,184,4,2,targetIA,816,3,816,1716,2,0.81,targetIA
4,19,5,472,5,2,targetIA,816,3,816,1916,2,0.86,targetIA
4,20,6,1164,1,1,fixationIA,1164,1,1164,0,1,0.52,fixationIA
4,20,6,344,2,2,targetIA,572,4,848,1244,2,0.89,targetIA
4,20,6,228,3,2,targetIA,572,4,848,1608,2,0.94,targetIA
4,20,6,252,4,3,distIA,252,1,252,1964,3,1.08,distIA
4,20,6,200,5,2,targetIA,276,4,848,2336,2,1.33,targetIA
4,20,6,76,6,2,targetIA,276,4,848,2556,2,0.96,targetIA
4,21,5,1436,1,1,fixationIA,1436,1,1436,0,1,0.62,fixationIA
4,21,5,160,2,2,targetIA,312,2,312,1516,2,1.08,targetIA
4,21,5,152,3,2,targetIA,312,2,312,1688,2,0.36,targetIA
4,21,5,160,4,3,distIA,316,2,316,1956,3,2.46,distIA
4,21,5,156,5,3,distIA,316,2,316,2132,3,0.85,distIA
4,22,5,1084,1,1,fixationIA,1084,1,1084,0,1,0.66,fixationIA
4,22,5,196,2,3,distIA,380,2,380,1164,3,0.28,distIA
4,22,5,184,3,3,distIA,380,2,380,1372,3,0.97,distIA
4,22,5,172,4,2,targetIA,612,2,612,1668,2,1.94,targetIA
4,22,5,440,5,2,targetIA,612,2,612,1856,2,1.12,targetIA
4,23,3,1292,1,1,fixationIA,1292,1,1292,0,1,0.68,fixationIA
4,23,3,212,2,2,targetIA,1244,2,1244,1372,2,0.52,targetIA
4,23,3,1032,3,2,targetIA,1244,2,1244,1600,2,0.99,targetIA
4,24,6,1048,1,1,fixationIA,1048,1,1048,0,1,0.63,fixationIA
4,24,6,232,2,3,distIA,368,2,368,1128,3,0.73,distIA
4,24,6,136,3,3,distIA,368,2,368,1376,3,1.31,distIA
4,24,6,172,4,.,.,.,.,.,1644,2,2.54,targetIA
4,24,6,200,5,2,targetIA,552,2,552,1844,2,0.06,targetIA
4,24,6,352,6,2,targetIA,552,2,552,2056,2,0.83,targetIA
4,25,3,900,1,1,fixationIA,900,1,900,0,1,0.48,fixationIA
4,25,3,152,2,2,targetIA,672,2,672,976,2,1.47,targetIA
4,25,3,520,3,2,targetIA,672,2,672,1140,2,0.78,targetIA
4,26,6,948,1,1,fixationIA,948,1,948,0,1,1.15,fixationIA
4,26,6,188,2,3,distIA,416,3,416,1020,3,2.42,distIA
4,26,6,152,3,3,distIA,416,3,416,1224,3,1.21,distIA
4,26,6,76,4,3,distIA,416,3,416,1392,3,1.9,distIA
4,26,6,228,5,2,targetIA,504,2,504,1592,2,1.08,targetIA
4,26,6,276,6,2,targetIA,504,2,504,1844,2,1.31,targetIA
4,27,2,1156,1,1,fixationIA,1156,1,1156,0,1,0.99,fixationIA
4,27,2,632,2,2,targetIA,632,1,632,1236,2,1.58,targetIA
4,28,2,1136,1,1,fixationIA,1136,1,1136,0,1,0.88,fixationIA
4,28,2,592,2,2,targetIA,592,1,592,1216,2,1.16,targetIA
4,29,5,1380,1,1,fixationIA,1380,1,1380,0,1,0.45,fixationIA
4,29,5,560,2,3,distIA,560,1,560,1540,3,0.8,distIA
4,29,5,184,3,2,targetIA,572,3,572,2228,2,1.11,targetIA
4,29,5,148,4,2,targetIA,572,3,572,2424,2,0.28,targetIA
